id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
120000,US,"Black sage, wispy black cherry, dried violets, star anise and a woody character combine for a wondrous nose on this wine by regional pioneer Dan Lee. It's rich on the palate, with clove and nutmeg adding complexity to the plum, dried cherry and fennel bulb flavors.",Garys Vineyard,92,58.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Morgan 2013 Garys Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Morgan
120001,Italy,"You'll find classic Nebbiolo scents of perfumed berry, rose, violet, tilled earth, leather and a hint of game in this striking wine. On the palate, notes of sage, white pepper and clove accent a core of red and black cherry. It's balanced with nervous acidity and gripping tannins.",Marcarini,92,50.0,Piedmont,Barbaresco,,Kerin O’Keefe,@kerinokeefe,Pertinace 2012 Marcarini  (Barbaresco),Nebbiolo,Pertinace
120002,Portugal,"This is a wood aged wine, full of vanilla flavors as well as fragrant fruitiness. It has great flavor intensity, with bright notes of juicy green plum and grapefruit that are framed by acidity and a tight, mineral texture. It needs some years aging, so drink from 2018.",,92,,Douro,,,Roger Voss,@vossroger,Poeira 2014 White (Douro),Portuguese White,Poeira
120003,Portugal,"The stately hillside line of cypress trees gives its name to this estate on the south bank of the Douro. This complex, rich and dark wine is densely textured. The tannins are still young, while the black berry fruits pack into the solid structure. This is a wine to age, so drink from 2018.",Quinta dos Aciprestes Reserva,92,22.0,Douro,,,Roger Voss,@vossroger,Real Companhia Velha 2013 Quinta dos Aciprestes Reserva Red (Douro),Portuguese Red,Real Companhia Velha
120004,US,"Ripe pomegranate seeds, red cherry juice, chai tea, a touch of iron and a stemmy crushed herb element powers the nose on this bottling from a special part of the estate vineyard. The flavors are sanguine at first, then open up onto red fruits, but are all held together by crushed marjoram and thyme.",One Palm,92,44.0,California,Santa Maria Valley,Central Coast,Matt Kettmann,@mattkettmann,Riverbench 2013 One Palm Pinot Noir (Santa Maria Valley),Pinot Noir,Riverbench
120005,US,"Vanilla, saffron and other exotic yellow spices are laced amidst the dried apples, dried pineapples and just-cut lemons on the nose of this wine from a vineyard on the cool western fringe of the appellation. It's fairly broad in the mouth, with lots of lemon zest, cooked apples and more vanilla, cut by a pithy bitterness.",Solomon Hills Vineyard,92,34.0,California,Santa Maria Valley,Central Coast,Matt Kettmann,@mattkettmann,Ryan Cochrane 2013 Solomon Hills Vineyard Chardonnay (Santa Maria Valley),Chardonnay,Ryan Cochrane
120006,US,"The third (and newest) of Trisaetum's estate vineyards, Wichman's grafted-on Riesling vines (originally Pinot Gris) have found their grip in 2014. Citrus, pink grapefruit and citrus peel components pile on more subtle details of orange rind, mineral and a whiff of vanilla wafer. The acids are juicy and the finish has a crisp, lemony tang.",Wichmann Dundee Estate Dry,92,28.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Trisaetum 2014 Wichmann Dundee Estate Dry Riesling (Dundee Hills),Riesling,Trisaetum
120007,US,"This barrel selection is sourced from vines planted in 2002. It's young, fresh and delicate, showing a mix of rose water, cranberry and cherry fruit. The purity and depth are striking, and the balance is also just right. There's defining acidity and a finishing tang of orange peel.",Dijon 115,92,60.0,Oregon,McMinnville,Willamette Valley,Paul Gregutt,@paulgwine ,Hyland 2013 Dijon 115 Pinot Noir (McMinnville),Pinot Noir,Hyland
120008,Portugal,"A classic blend of Dão grapes, including Tinta Roriz and Touriga Nacional, this is a generous, full wine that balances a firm, mineral texture with ripe plum and damson fruits. Wood aging has given an extra dimension to its broad opulence. Drink from 2018.",Ribeiro Santo Reserva,92,20.0,Dão,,,Roger Voss,@vossroger,Magnum Vinhos 2012 Ribeiro Santo Reserva Red (Dão),Portuguese Red,Magnum Vinhos
120009,Argentina,"This power-packed new Malbec from the son of legendary Mendoza winemaker Jorge Riccitelli shows lush blackberry and cassis aromas along with burnt toast and graphite notes. A huge, saturated palate is resiny and chewy, while flavors of baked black fruits are oaky and savory, with a saucy finish that's bulky. This is full, chunky and delicious; drink through 2024.",Republica del Malbec,92,75.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Matias Riccitelli 2012 Republica del Malbec Malbec (Mendoza),Malbec,Matias Riccitelli
120010,Italy,"Scents of perfumed berry, eucalyptus, chopped herb and a whiff of leather unfold in the glass. The smooth, delicious palate doles out juicy black cherry, crushed raspberry, freshly ground black pepper and anise alongside polished, velvety tannins.",Buio,92,25.0,Sicily & Sardinia,Carignano del Sulcis,,Kerin O’Keefe,@kerinokeefe,Mesa 2013 Buio  (Carignano del Sulcis),Carignano,Mesa
120011,US,"This impressive wine combines power and style. It has a classic Bordeaux-like aroma that's subtly spicy, very clean, complex and precise. Then loads of red and black fruit flavors come out, seeming almost sweet for a moment until those firm tannins and lively acidity kick in to add a textural grip. The finish lingers, with light spicy oak notes that fade slowly. Best now through 2020.",Supremacy,92,80.0,California,Livermore Valley,Central Coast,Jim Gordon,@gordone_cellars,Nottingham Cellars 2012 Supremacy Red (Livermore Valley),Bordeaux-style Red Blend,Nottingham Cellars
