id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
100000,US,Creamy black cherry aromas layered with fresh brussel sprouts and spicy arugula flavors of red plums and toasted oak.,,89,70.0,California,Napa Valley,Napa,,,Caymus 1998 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Caymus
100001,France,"Chapoutier's selections of the best parcels of vines in Hermitage are set to become legendary. Sold under the ancient spelling of the appellation name (Ermitage), they represent the epitome of the power and concentration that lies behind the reputation of the appellation. This cuvée is the best of the collection, with its brooding, opaque character, suggesting rather than revealing power at this stage. Age it until your new-born baby is old enough to drink, and it will be just about ready.",Le Méal Ermitage,98,150.0,Rhône Valley,Hermitage,,Roger Voss,@vossroger,M. Chapoutier 1999 Le Méal Ermitage  (Hermitage),Rhône-style Red Blend,M. Chapoutier
100002,France,"Jean-Louis, the son of Gérard Chave, is now in charge of the family business, as well as being president of the Hermitage wine producers. He is continuing the family tradition of making powerful statements of Syrah from Hermitage, combining massive structure and over-powering perfumes. This 1999 seems to have the best of the traditional world of tannic immensity and the modern world of beautiful, ripe fruit. A wine that will age for a very long time.",,97,125.0,Rhône Valley,Hermitage,,Roger Voss,@vossroger,J.L. Chave 1999  Hermitage,Rhône-style Red Blend,J.L. Chave
100003,US,"Aromas lean toward black cherry, chocolate and herbs, which sally forth on the palate serving up more dense fruit, licorice, coffee and beautiful toast flavors. Tannins are smooth, supple and ripe. Long, lush and decadent on the finish.",Herb Lamb Vineyard,96,150.0,California,Napa Valley,Napa,,,Colgin 1999 Herb Lamb Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Colgin
100004,US,"Certainly one of the successes of the vintage. Packed with cassis, sage, plum, tobacco, earth and smoky oak, and perfectly dry and balanced. Sheer joy in the mouth, like liquid velvet. It changes every second, offering up tiers of flavors through the spicy finish.",SLV,96,100.0,California,Napa Valley,Napa,,,Stag's Leap Wine Cellars 1998 SLV Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Stag's Leap Wine Cellars
100005,US,"Plush, smooth and packed tight with complex flavors. Blackberry, anise, black cherry, tar, coal, spice, earth and herbs remain tightly wound, waiting patiently to reveal their full charm in time. Supple, smooth tannins and beautiful balance give this wine classic elegance.",Maya,96,120.0,California,Napa Valley,Napa,,,Dalla Valle 1999 Maya Red (Napa Valley),Red Blend,Dalla Valle
100006,France,"Even though the 42 months this wine has spent in new wood give it an intensely toasty character, the enormously soft, perfumed fruits and ripe, sweet flavors that go along with the wood produce a finely tuned, balanced wine that should age well over many years. As an expression of pure Syrah, there are few better.",La Mouline,96,175.0,Rhône Valley,Côte Rôtie,,Roger Voss,@vossroger,E. Guigal 1998 La Mouline  (Côte Rôtie),Rhône-style Red Blend,E. Guigal
100007,US,"After “fiddling around,” as he puts it, with blends in his '96 and '97 cabs, winemaker Alex Golitzin decided to go with straight Cabernet in '98, an exceptional vintage for Washington State. This is a tight, focused effort, with powerful black fruits augmented with herbs and spices and a hint of mineral. Young, tart and tannic, it will continue to improve as it knits together over the years. Editors' Choice.",,95,60.0,Washington,Washington,Washington Other,Paul Gregutt,@paulgwine ,Quilceda Creek 1998 Cabernet Sauvignon (Washington),Cabernet Sauvignon,Quilceda Creek
100008,France,"A firm, dry, foursquare wine that has power and structure rather than the immediate perfumes of La Mouline, the partner cuvée from Guigal. This is the wine for those who want power with big tannins, and they don't come more powerful or tannic than this. Its aging potential is enormous:  after 10 years there should be more sign of the perfumed fruit which is there, somewhere.",La Turque,95,175.0,Rhône Valley,Côte Rôtie,,Roger Voss,@vossroger,E. Guigal 1998 La Turque  (Côte Rôtie),Rhône-style Red Blend,E. Guigal
100009,France,"Here is a superbly rich and smooth wine. Aromas of violets and flavors of blueberries and red cherries along with dusty tannins, give this wine both immediate appeal and the promise of a good long-term future.",La Landonne,95,150.0,Rhône Valley,Côte Rôtie,,Roger Voss,@vossroger,Domaine Jean-Michel Gerin 1999 La Landonne  (Côte Rôtie),Rhône-style Red Blend,Domaine Jean-Michel Gerin
100010,France,"A huge, ink-black wine with all the brooding majesty that gives Cornas its reputation. A blockbuster with enormous rich, sweet tannins. At the end it is the quality of the superripe fruit from old vines that dominates, but it is certainly a wine to keep for generations.",Empreintes,95,37.0,Rhône Valley,Cornas,,Roger Voss,@vossroger,Éric & Jöel Durand 1999 Empreintes  (Cornas),Rhône-style Red Blend,Éric & Jöel Durand
100011,France,"A massive wine, with its opaque, dense purple color, its huge tannins and its tight, powerful structure. When it develops—maybe in 10 or 15 years' time—the perfumed, juicy Syrah fruits that are just suggested for the moment are going to be as dominant as the tannins are now. What a wine it will be then.",,95,55.0,Rhône Valley,Hermitage,,Roger Voss,@vossroger,E. Guigal 1999  Hermitage,Rhône-style Red Blend,E. Guigal
100012,US,"What a great success. Oozes with blackcurrant jam and cassis and a dash of black pepper. Flamboyant oak adds a perfume of vanilla and smoke. Fleshy, long and full, this beautiful wine is not a monster, but it coats the palate with spicy flavors that epitomize class and style.",Cask 23,95,150.0,California,Napa Valley,Napa,,,Stag's Leap Wine Cellars 1998 Cask 23 Red (Napa Valley),Bordeaux-style Red Blend,Stag's Leap Wine Cellars
100013,US,"A beautifully balanced wine, framed in plush, ripe, velvety tannins and backed by lush, black cherry, plum, blackberry, spice, herb and chocolate flavors. Gloriously complex, seamless in its elegance, the wine is packed with charm and personality; long on the finish.",,95,65.0,California,Napa Valley,Napa,,,Switchback Ridge 1999 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Switchback Ridge
100014,US,"Ripe, rich and elegant, this wine is brimming with black plum, strawberry, cassis, chocolate, spice and herb notes. It's smooth-textured and seamlessly integrated, even at this early stage. Firm, plush tannins and just the right amount of toasty oak frame the ensemble.",,94,100.0,California,Napa Valley,Napa,,,Dalla Valle 1999 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Dalla Valle
