id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
10000,France,"This is a smooth, ripe, and rounded wine that's intense on the palate with bright red-fruit flavors. Integrated acidity and hints of maturity add balance to rich fruitiness. Reserve wines blended into the Champagne lend a fullness to the palate that makes the wine ready to drink now.",Blanc de Noirs Grand Cru Brut,91,,Champagne,Champagne,,Roger Voss,@vossroger,Henriet-Bazin NV Blanc de Noirs Grand Cru Brut Pinot Noir (Champagne),Pinot Noir,Henriet-Bazin
10001,Portugal,"A bold, powerful wine, showing smooth, mature black-fruit flavors and rich tannins. It is soft, solid and powerfully built. Wood aging has given extra roundness and a touch of spice to the palate. Drink this wine now and until 2018.",Reserva,91,15.0,Alentejo,,,Roger Voss,@vossroger,Herdade dos Machados 2007 Reserva Red (Alentejo),Portuguese Red,Herdade dos Machados
10002,Italy,"Here's a lovely sparkling wine that offers a floral fragrance of white flowers and tropical fruit. The palate delivers apple, white peach and a hint of almond. It has a creamy texture and a clean, crisp finish. A classic Franciacorta.",Brut,91,29.0,Lombardy,Franciacorta,,Kerin O’Keefe,@kerinokeefe,Il Mosnel NV Brut Sparkling (Franciacorta),Sparkling Blend,Il Mosnel
10003,Canada,"This vibrantly aromatic wine brings generous notes of honey, pineapple, papaya and apricot. It's intensely sweet and rich in flavor and feel, lingering on the finish.",Icewine,91,60.0,Ontario,Niagara Peninsula,,Sean P. Sullivan,@wawinereport,Inniskillin 2011 Icewine Vidal (Niagara Peninsula),Vidal,Inniskillin
10004,France,"A crisp, finely balanced wine, this is packed with fresh citrus, peach-skin and green-apple flavors. It's a textured wine with layers of minerality on the palate. The acidity is just right—a fine streak that cuts through the fruitiness and gives a tight, taut finish.",La Cuvée 17 Brut,91,57.0,Champagne,Champagne,,Roger Voss,@vossroger,J. Dumangin Fils NV La Cuvée 17 Brut  (Champagne),Champagne Blend,J. Dumangin Fils
10005,US,"Full-throttle Burgundian technique marks this Chardonnay. It's explosive with buttered toast and popcorn and apricot and orange jam flavors. There's a fine streak of lime acidity. It's an exciting wine, as opulent as California Chard gets, if a little over-the-top, venturing beyond balance into opulence for its own sake.",Finch Hollow Estate Grown Cave Fermented,91,110.0,California,Napa Valley,Napa,,,Jarvis 2011 Finch Hollow Estate Grown Cave Fermented Chardonnay (Napa Valley),Chardonnay,Jarvis
10006,France,"While full and ripe in style, this wine is also quite dry. It's packed with crisp, youthful fruits, along with an intensely mineral texture that penetrates deep on the palate. Apple and lime juice pierce through the finish. Drink through 2021.",Cuvée Spéciale Brut Millesimé,91,75.0,Champagne,Champagne,,Roger Voss,@vossroger,Nicolas Feuillatte 2005 Cuvée Spéciale Brut Millesimé  (Champagne),Champagne Blend,Nicolas Feuillatte
10007,France,"This is a deliciously fruity, yet structured wine. It has weight and richness, but mainains elegance with lemony acidity, ripe grapefruit flavor, and layered wood notes. It's a wine for long-term aging so drink from 2015.",Mont de Milieu Premier Cru,91,,Burgundy,Chablis,,Roger Voss,@vossroger,Pascal Bouchard 2011 Mont de Milieu Premier Cru  (Chablis),Chardonnay,Pascal Bouchard
10008,France,"This is an attractive, fast-maturing wine with soft tannins, ripe fruits and a juicy, perfumed acidity. It has considerable weight and concentration, along with firm red-plum and berry flavors. It's an elegant wine that should be drunk from 2017.",Cuvée Signature,91,193.0,Burgundy,Clos de la Roche,,Roger Voss,@vossroger,Bouchard Aîné & Fils 2011 Cuvée Signature  (Clos de la Roche),Pinot Noir,Bouchard Aîné & Fils
10009,Portugal,"A ripe and fruity wine that boasts yellow fruits and fresh citrus characteristics. It's lush and ripe, with just a touch of minerality to give the wine structure. There's a delicious tangy aftertaste to this full, impressive wine.",O Oenólgo,91,32.0,Dão,,,Roger Voss,@vossroger,Casa da Passarella 2012 O Oenólgo Encruzado (Dão),Encruzado,Casa da Passarella
