id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
15000,France,"Creamed apple aromas shine out of this intensely fruity wine. With its ripe pear and melon flavors and the concentration from the old vines, the wine is rich while keeping plenty of acidity in reserve. Its fruit is still young, still perfumed. The wine is ready to drink.",Château du Coing de Saint-Fiacre Comte de Saint-Hubert Vieilles Vignes Sur Lie,91,17.0,Loire Valley,Muscadet Sèvre et Maine,,Roger Voss,@vossroger,Véronique Günther-Chereau 2014 Château du Coing de Saint-Fiacre Comte de Saint-Hubert Vieilles Vignes Sur Lie  (Muscadet Sèvre et Maine),Melon,Véronique Günther-Chereau
15001,US,"This is done in a crisp, fresh and leesy style, with lime-drenched minerality. Flavors of white peach and guava gain volume and density as the wine warms on the palate. It was kept from malolactic fermentation, enlivening a lingering, resonant finish.",,91,19.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Ponzi 2016 Pinot Gris (Willamette Valley),Pinot Gris,Ponzi
15002,Italy,"Made with Sauvignon, Chardonnay, Ribolla Gialla and Friulano, this opens with aromas of toast, hazelnut, mature stone fruit, Mediterranean herb and a whiff of coffee. The firm palate boasts both structure and finesse, offering ripe yellow apple, pear, crystallized ginger and lemon drop. It closes on a note of bitter almond. Drink through 2021.",Klin,91,,Northeastern Italy,Collio,,Kerin O’Keefe,@kerinokeefe,Primosic 2011 Klin White (Collio),White Blend,Primosic
15003,Spain,"A compact bouquet with dense aromas of leafy berry fruits and compost is not entirely fresh and pure. On the palate, this is packed with pulpy fruit, but there's isn't much nuance. Short, stocky berry, plum and spice flavors finish fleshy but a touch leafy and abrasive. Drink through 2028.",Reserva,91,45.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Remelluri 2010 Reserva  (Rioja),Red Blend,Remelluri
15004,US,"Beautifully polished, this wine has an alluring blend of fruit and spice flavors and an especially lush texture. The bouquet evokes violets, raspberries and blueberries, and the palate goes deeper into blackberry and clove flavors. The balance is great because it matches its acidity with a feeling of richness and length.",,91,18.0,California,Amador County,Sierra Foothills,Jim Gordon,@gordone_cellars,Sera Fina 2013 Barbera (Amador County),Barbera,Sera Fina
15005,US,"This is a complex, muscular wine, with good aging potential. The nose carries a whiff of animal (in a good way) and the black fruits are buoyed with generous acidity. Drink 2020–2028.",Zena Crown Vineyard,91,70.0,Oregon,Eola-Amity Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Siduri 2015 Zena Crown Vineyard Pinot Noir (Eola-Amity Hills),Pinot Noir,Siduri
15006,South Africa,"This Pinotage-based blend, with 29% Cabernet Sauvignon and 8% Merlot, opens with intense aromas of boysenberry, blackberry and plum that are hit with earthy accents of tree bark, balsamic herbs and cigar. The fruity concentration continues through to the rich, plush palate, framed by bold tannins that lend overall balance and structure. Final notes of cocoa nib, toasted spice and charred earth grace the long finish.",Frans Malan Cape Blend,91,38.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Simonsig 2014 Frans Malan Cape Blend Red (Stellenbosch),Red Blend,Simonsig
15007,Germany,"Crushed minerals and steel reverberate amidst concentrated lime and lemon in this racy, laser-edged Riesling. Dry and taut on the palate, it finishes long with spine tingling acidity and revitalizing tangs of mineral intensity.",Niersteiner vom Rotliegenden,91,28.0,Rheinhessen,,,Anna Lee C. Iijima,,Staatliche Weinbaudomäne Oppenheim 2015 Niersteiner vom Rotliegenden Riesling (Rheinhessen),Riesling,Staatliche Weinbaudomäne Oppenheim
15008,US,"A wonderful bouquet, like that of a well-aged wine, helps this spicy, fruity bottling stand out. It has gorgeous floral, tamarind and cola aromas, generous fruity flavors and a smooth, lightly tannic texture. An unusual and delicious twist on the variety.",Estate Grown,91,32.0,California,Sierra Foothills,Sierra Foothills,Jim Gordon,@gordone_cellars,Tanner 2014 Estate Grown Barbera (Sierra Foothills),Barbera,Tanner
15009,US,"Cola, black cherry, nutmeg and spicy vanilla show on the nose of this blend of 50% Cabernet Franc, 25% Sangiovese and 25% Merlot, which winemaker Angela Soleno ages in bottle before releasing. The palate is framed by sticky tannins and offers dried black currant, black and green olive, clove and sarsaparilla flavors.",Kindred Spirit,91,85.0,California,Central Coast,Central Coast,Matt Kettmann,@mattkettmann,Turiya 2012 Kindred Spirit Red (Central Coast),Red Blend,Turiya
