id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
20000,US,"A grilled steak will play nicely against the tannins and acids of this Syrah, grown in the cool Carneros district north of San Francisco. The black peppercorn and blackberry flavors suggest a butter-enriched wine reduction sauce. Best now and for a couple years.",,87,25.0,California,Carneros,Napa-Sonoma,,,Buena Vista 2005 Syrah (Carneros),Syrah,Buena Vista
20001,Italy,"Here's a simple but genuine Sangiovese from the Montepulciano area that delivers measured notes of blueberry, spice, tobacco and leather. It's a no-fuss red that is both lean and bright on the palate.",Capoverso,87,22.0,Tuscany,Toscana,,,,Capoverso 2005 Capoverso Sangiovese (Toscana),Sangiovese,Capoverso
20002,France,"A rich wine that shows plenty of berry fruits, supported by some dry but dusty tannins. This is a wine that is going to develop with its firm powerhouse of ripe fruit that is emerging from a tight period in its development.",,87,20.0,Bordeaux,Graves,,Roger Voss,@vossroger,Château Haut Selve 2003  Graves,Bordeaux-style Red Blend,Château Haut Selve
20003,France,"This grassy, very herbaceous wine is all crisp green fruits. Touched by a creamy texture under a layer of freshness, it shows some good weight and structure. There is light wood that rounds it all out.",Héritage,87,12.0,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château Lamothe-Vincent 2006 Héritage  (Bordeaux Blanc),Bordeaux-style White Blend,Château Lamothe-Vincent
20004,Germany,"Slaty minerality frames bold pineapple and lime aromas and flavors in this medium-bodied, nearly dry Riesling. Fresh and minerally on the finish.",Laumersheimer Kapellenberg Kabinett Trocken,87,22.0,Pfalz,,,Joe Czerwinski,@JoeCz,Knipser 2006 Laumersheimer Kapellenberg Kabinett Trocken Riesling (Pfalz),Riesling,Knipser
20005,Spain,"This is Cáceres' bread-and-butter red Rioja, and the '04 is fruity, light and very approachable. The nose shows some cotton candy and other bouncy red-fruit aromas, while the palate is easygoing, fleshy and balanced by a beam of juicy acidity. Along the way, you'll pull out flavors of cherry, raspberry and a finishing note of bitter coffee.",Crianza,87,15.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Marqués de Cáceres 2004 Crianza  (Rioja),Tempranillo,Marqués de Cáceres
20006,Portugal,"This wine is young but ripe, with spice and blackberry fruits. It has a core of mineral tannins that are a reminder of the hard schist rocks of the Douro. With this dry structure, it needs to be aged, so drink from 2017.",Charamba,86,8.0,Douro,,,Roger Voss,@vossroger,Aveleda 2013 Charamba Red (Douro),Portuguese Red,Aveleda
20007,Argentina,"This rosado smells of red apple cider, red licorice candy and cotton candy. It's full on the palate, with helpful acidity. Flavors of grapefruit and orange are limited, but overall this rosé of Malbec makes the grade.",Rosa de Argentina Rosado de,86,14.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Belasco de Baquedano 2014 Rosa de Argentina Rosado de Malbec (Mendoza),Malbec,Belasco de Baquedano
20008,Argentina,"Brandied cherry aromas are a touch stalky and hot, but overall this opens well. Edgy in feel, this Cab shows baked berry flavors and scratchy acidity in front of a stalky, roasted tasting finish.",Roble Oak,86,11.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Bodega Privada 2012 Roble Oak Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Bodega Privada
20009,Argentina,"Jammy, somewhat green aromas are suggestive of tomato sauce with oregano and thyme. This feels full, creamy and thick, with earthy, herbal berry flavors that finish with creamy weight and chewy tannins.",,86,22.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Cicchitti 2013 Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Cicchitti
20010,US,"Pale in color with an orange rim, this transparent, very varietal wine offers aromas of strawberry, herb, cherry, sassafras and cola. The flavors are light and elegant but linger.",,86,15.0,Oregon,Oregon,Oregon Other,Sean P. Sullivan,@wawinereport,Cloudveil 2013 Pinot Noir (Oregon),Pinot Noir,Cloudveil
20011,US,"Freshly roasted coffee, allspice and charred mixed berries shine on the nose of this Cabernet Franc which saw 24 months in Appalachian oak barrels. Silky and generous on the palate, Bing cherry and red plum meet additional warm spice and toasted oak characters.",Franc,86,45.0,Colorado,Grand Valley,,Alexander Peartree,,Creekside Cellars 2012 Franc Cabernet Franc (Grand Valley),Cabernet Franc,Creekside Cellars
20012,France,"From a property that is just below the Montée de Tonnerre Premier Cru vineyard, the 30-year-old vines give a round, easygoing wine. The tight texture is really lost in the fresh pear and apple flavors and general ripeness. Drink now.",Tête d'Or,86,,Burgundy,Chablis,,Roger Voss,@vossroger,Domaine Billaud-Simon 2013 Tête d'Or  (Chablis),Chardonnay,Domaine Billaud-Simon
20013,France,"This soft, ripe perfumed wine has a fine, clean texture of apple skins. Orange zest and a citrus acidity come through strongly in this wine that is bright and fresh at the end. Drink now.",,86,,Burgundy,Petit Chablis,,Roger Voss,@vossroger,Domaine Jean-Paul et Benoît Droin 2013  Petit Chablis,Chardonnay,Domaine Jean-Paul et Benoît Droin
20014,Argentina,"Nervy cranberry and grainy-oak aromas struggle to achieve cohesion on the nose. Flavors of buttery oak, green herbs and berry fruits finish with herbaceous notes and a flabby feel.",Reserve,86,17.0,Mendoza Province,Tupungato,,Michael Schachner,@wineschach,Finca Sophenia 2013 Reserve Cabernet Sauvignon (Tupungato),Cabernet Sauvignon,Finca Sophenia
20015,France,"Tight, crisp and fruity, this is a refreshing and bright wine. Lively acidity cuts right through the lightly mineral texture. Full of fruit, fresh and lively, this should be drunk now.",Domaine Lenoir,86,17.0,Burgundy,Mâcon-Villages,,Roger Voss,@vossroger,Jean-Claude Debeaune 2013 Domaine Lenoir  (Mâcon-Villages),Chardonnay,Jean-Claude Debeaune
20016,US,"Vibrant, fruity aromas of red cherry concentrate and bubble gum powder ride over a sweet sawdust note on the nose. The palate shows a bit of depth and darkness, with tart black plum and grippy plum skin on a medium-bodied palate. Sandy, yet structured tannins support. A dusty vanilla finish rounds out this approachable red.",,86,25.0,Virginia,Virginia,,Alexander Peartree,,Jefferson Vineyards 2013 Petit Verdot (Virginia),Petit Verdot,Jefferson Vineyards
20017,Australia,"This blend of 55% Shiraz and 45% Cabernet Sauvignon is full bodied and rather tannic, with dark notes that run the gamut from leather and grilled meat to espresso and mocha. Fortunately, the texture turns velvety on the finish, allowing some mouthwatering elements to shine through. Drink now–2020.",,86,19.0,South Australia,Padthaway,,Joe Czerwinski,@JoeCz,Jip Jip Rocks 2013 Shiraz-Cabernet (Padthaway),Shiraz-Cabernet,Jip Jip Rocks
20018,Argentina,"Leafy, herbal aromas of spicy berry fruits lean toward green. An edgy, acidic palate delivers herbal flavors of currant and plum, while the finish is spicy and herbal, much like a good tomato sauce.",Coleccion,86,12.0,Other,Calchaquí Valley,,Michael Schachner,@wineschach,Michel Torino 2014 Coleccion Cabernet Sauvignon (Calchaquí Valley),Cabernet Sauvignon,Michel Torino
20019,US,"Oak notes persist on the nose and palate of this Merlot, Petit Verdot, Cabernet Franc and Malbec blend. Heavy roast coffee, burnt toast and charred black-fruit flavors mark the full-bodied palate, while a zip of red currant acidity tries to shine through.",Yash-Vir,86,28.0,Virginia,Virginia,,Alexander Peartree,,Narmada 2010 Yash-Vir Red (Virginia),Bordeaux-style Red Blend,Narmada
20020,US,"Reduced blueberry sauce hovers around a spiced cherry core. A rich palate of tangy blueberry and blackberry feels thick, yet there's enough acidic kick to keep it in check. The grippy tannins give ample support.",Estate Grown,86,26.0,Virginia,Monticello,,Alexander Peartree,,Pollak 2012 Estate Grown Petit Verdot (Monticello),Petit Verdot,Pollak
