id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
90000,Italy,"This opens with pretty floral aromas of white peach and juicy pineapple accompanied by salinity and dried sage notes. Siena Imports, L'Amore di Vino.",Pallio di San Floriano,87,18.0,Central Italy,Verdicchio dei Castelli di Jesi Classico Superiore,,Kerin O’Keefe,@kerinokeefe,Monte Schiavo 2012 Pallio di San Floriano  (Verdicchio dei Castelli di Jesi Classico Superiore),Verdicchio,Monte Schiavo
90001,Austria,"Tart cranberry fruit is the defining character here and is in tune with the tight, slender body and the refreshing acidity. This has ample elegance and a light touch.",,87,29.0,Carnuntum,,,Anne Krebiehl MW,@AnneInVino,Muhr-Van der Niepoort 2011 Blaufränkisch (Carnuntum),Blaufränkisch,Muhr-Van der Niepoort
90002,Greece,"This Xinomavro offers red cherry, spice and black pepper aromas and layers of smoke, vanilla and plucky spice on the palate. Approachable and great for everyday drinking—think lamb gyros or short ribs.",,87,15.0,Imathia,,,Susan Kostrzewa,@suskostrzewa,My Big Fat Greek Wine 2011 Xinomavro (Imathia),Xinomavro,My Big Fat Greek Wine
90003,France,"This is a medium-dry wine that has more spice than sweetness. It is warm and full in the mouth, and accented with a touch of pepper, brisk acidity and lychee flavors. The wine is rich and ready to drink. Screwcap.",Signature,87,23.0,Alsace,Alsace,,Roger Voss,@vossroger,René Muré 2011 Signature Gewurztraminer (Alsace),Gewürztraminer,René Muré
90004,US,"While bottled for four years now, this Cabernet is still developing bottle-aged notes. It's rich and jammy with blackberries, blueberries, cherries and mocha, along with a good overlay of oak. It's a pleasant wine to drink over the next few years.",,87,56.0,California,Coombsville,Napa,,,Richard Perry 2009 Cabernet Sauvignon (Coombsville),Cabernet Sauvignon,Richard Perry
90005,Chile,"Heady, oaky, pushy aromas of green-leaning red-berry fruits and coffee grinds are earthy and strong. This is concentrated in the mouth, and also pasty and resiny in feel. Flavors of lactic oak, cardamom and blackberry finish with vanilla sweetness and a lasting wave of wood.",Medalla Real Gran Reserva,87,20.0,Colchagua Costa,,,Michael Schachner,@wineschach,Santa Rita 2009 Medalla Real Gran Reserva Carmenère (Colchagua Costa),Carmenère,Santa Rita
90006,US,"At the age of more than five years, this 100% Cabernet still tastes fresh with blackberry, cassis and mocha flavors, along with plenty of oak influence. There's a soft lusciousness that makes it drinkable now.",,87,55.0,California,Napa Valley,Napa,,,Sciandri Family 2008 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Sciandri Family
90007,France,"With bitter cherry flavor and a light touch of tannin, this is a fruity, spicy wine. It has a cool climate feel of acidity and tight texture, while also being light and fresh. Drink now.",Tradition,87,20.0,Alsace,Alsace,,Roger Voss,@vossroger,Sipp Mack 2011 Tradition Pinot Noir (Alsace),Pinot Noir,Sipp Mack
90008,US,"Ripe, luscious blackberry and bramble bush notes are seductive on the nose of this rather big, powerful Cabernet Franc. The palate is forward as well, with rich black-fruit flavors accented by sweet spice and vanilla, along with a fresh swathe of green on the finish.",,87,16.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Lakewood 2010 Cabernet Franc (Finger Lakes),Cabernet Franc,Lakewood
90009,US,"Aromatic, with notes of red cherry preserves, this is a fresh, fruity Pinot Noir filled with bright cherry and berry flavor, and a delicate violet flair. It's medium bodied in style, with zesty acidity and big, rigid tannins on the finish.",,87,16.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Lakewood 2010 Pinot Noir (Finger Lakes),Pinot Noir,Lakewood
90010,US,Hints of sugar cookies and nuts add warmth to notes of fresh apple and blossoms on this dainty Champagne-style sparkling. It's delicately petillant with tart tangerine acidity and pleasant apple and lemon flavors.,Brut,87,25.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Château Frank 2006 Brut  (Finger Lakes),Champagne Blend,Château Frank
90011,US,"While the nose of this Lemberger is quite voluptuous, with aromas of ripe black cherries and plum, the palate highlights crisp, slightly tart blackberry flavor. It's full bodied in style, yet refreshing with acidity and finishes quite brisk.",Sunrise Hill Vineyard,87,20.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Damiani 2010 Sunrise Hill Vineyard Lemberger (Finger Lakes),Lemberger,Damiani
90012,US,"Warm toast, vanilla and spice notes are inviting on this deeply penetrating Merlot. Despite its rich black-fruit profile, the palate is surprisingly delicate displaying tart cranberry notes that linger long and lean.",,87,20.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Fox Run 2010 Merlot (Finger Lakes),Merlot,Fox Run
90013,US,"Polarity is an unusual golden-hued wine made from Pinot Noir grapes that have minimal skin contact after pressing. Barrel fermentation and aging, as well as substantial lees stirring lend a rich, rounded palate and abundant notes of caramel, butter and popcorn. All this lusciousness is balanced by fresh apple and lemon flavor, and brisk acidity.",Polarity,87,27.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Heart & Hands 2011 Polarity Pinot Noir (Finger Lakes),Pinot Noir,Heart & Hands
90014,US,"Though the oak is high quality (62% new American and French), it's in your face on this 100% varietal wine, with notes of char and toast. It's soft, silky and elegant in feel but the barrel flavors take over making it hard to get all the fruit notes.",Canoe Ridge Estate,87,26.0,Washington,Horse Heaven Hills,Columbia Valley,Sean P. Sullivan,@wawinereport,Chateau Ste. Michelle 2011 Canoe Ridge Estate Merlot (Horse Heaven Hills),Merlot,Chateau Ste. Michelle
90015,Italy,"Notes of jasmine and acacia mingle with fleshy white peach, apple, citrus and ginger. The lithe palate comes with firm but balanced acidity, while a flinty minerality characterizes the finish.",,87,15.0,Central Italy,Falerio,,Kerin O’Keefe,@kerinokeefe,Cherri d'Acquaviva 2012 Pecorino (Falerio),Pecorino,Cherri d'Acquaviva
90016,US,"This is a new offering for Columbia Crest's Grand Estates lineup. Fresh fruit flavors emphasize lemon, lime and pineapple, backed with moderate acidity. A nice spicy lift informs the finish. Light and lively.",Grand Estates Unoaked,87,12.0,Washington,Washington,Washington Other,Paul Gregutt,@paulgwine ,Columbia Crest 2012 Grand Estates Unoaked Chardonnay (Washington),Chardonnay,Columbia Crest
90017,France,"This wine is rich with smooth tannins that meld into fresh red-fruit flavors. It's a juicy wine with a crisp, acidic finish. Drink now.",Cuvée Marina,87,26.0,Provence,Coteaux d'Aix-en-Provence,,Roger Voss,@vossroger,Commanderie de la Bargemone 2009 Cuvée Marina Red (Coteaux d'Aix-en-Provence),Red Blend,Commanderie de la Bargemone
90018,Italy,"This opens with a delicate and enticing fragrance of white and yellow flowers, hay and beeswax. The palate delivers flavors of golden apple, peach and lemon, with an almond accent. The smooth, weightless texture is brightened by fresh acidity.",,87,14.0,Central Italy,Verdicchio dei Castelli di Jesi,,Kerin O’Keefe,@kerinokeefe,Conti di Buscareto 2012  Verdicchio dei Castelli di Jesi,Verdicchio,Conti di Buscareto
90019,France,"This is a fruity and fresh wine with a warm, herbal feel characteristic of Provence. The palate boasts apricot and delicate citrus flavors with a hint of minerality. It has a fresh, perfumed aftertaste.",Garrigues,87,20.0,Provence,Les Baux de Provence,,Roger Voss,@vossroger,Domaine de la Vallongue 2012 Garrigues White (Les Baux de Provence),White Blend,Domaine de la Vallongue
90020,France,"Very pale in color, this spice and red-fruit flavored wine is refreshing and crisp. It's a light wine, cut through by acidity and floral undertones. Drink this attractive wine now.",Brut Rosé,87,28.0,Alsace,Crémant d'Alsace,,Roger Voss,@vossroger,Domaine François Schmitt NV Brut Rosé Pinot Noir (Crémant d'Alsace),Pinot Noir,Domaine François Schmitt
90021,France,"Characteristically spicy and packed with lychee flavors, this wine has an attractive lightness that stops it being too rich. The result is a wine that is fragrant and fruity with a rosewater and pear aftertaste. Screwcap.",,87,,Alsace,Alsace,,Roger Voss,@vossroger,Dopff Au Moulin 2012 Gewurztraminer (Alsace),Gewürztraminer,Dopff Au Moulin
90022,US,"High-toned with lemon-rind notes against an undertone of oak, this woodsy Sémillon is crisp and bright with acidity. It develops into a fuller style in the glass and on the finish. Fenestra makes a lot of different wines in small lots and this is one worth trying.",,87,17.0,California,Livermore Valley,Central Coast,Virginie Boone,@vboone,Fenestra 2012 Semillon (Livermore Valley),Sémillon,Fenestra
