id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
80000,Germany,"While intensely youthful on the nose with aromas of fresh red cherries and blossom, the wine seems to build in depth and maturity on the palate. Fresh red fruit turns deeper and darker, and pretty floral notes pick up hints of potpourri and fall foliage. Elegant yet seductive, it is delicious now, but should mature beautifully through 2019–2021.",Trocken,91,20.0,Rheinhessen,,,Anna Lee C. Iijima,,Thörle 2011 Trocken Spätburgunder (Rheinhessen),Spätburgunder,Thörle
80001,France,"While still young, this wine has a smooth texture that shows the black fruits and perfumed tannins well. The balance of acidity and rich fruitiness is underpinned by the drier, tannic core. Drink young and fruity, but better wait until 2016.",Quintessence,91,18.0,Loire Valley,Saint-Nicolas-de-Bourgueil,,Roger Voss,@vossroger,Vignoble de la Jarnoterie 2012 Quintessence  (Saint-Nicolas-de-Bourgueil),Cabernet Franc,Vignoble de la Jarnoterie
80002,US,"Fragrant and inviting in dark cherry, raspberry and cola spice, this medium-weight Pinot Noir is lush and meaty. Bright flavors veer from dark cherry to raspberry, with a pronounced lift of earth and herb. The wine is layered, beautifully textured and long in the finish.",Hallberg Vineyard,91,44.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Joseph Jewell 2011 Hallberg Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Joseph Jewell
80003,US,"Classic varietal smells of chalk and golden raisin emerge from this wine. It's lusciously smooth once sipped, with orange, limestone and vanilla pudding leaning up against bitter greens and just-ripe nectarine. Serve with beets and goat cheese or Chinese chicken salad.",Tondré Grapefield,91,20.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Nacina 2012 Tondré Grapefield Riesling (Santa Lucia Highlands),Riesling,Nacina
80004,Austria,"Freshly cut pear peel and savory, almost nutty herbs announce a richer style with plump notions of yellow pear and plum. Savory nuttiness is foremost, playing on the rounded and beautifully textured palate. A lasting notion of white pepper makes for an intriguing finish. This has “food wine” written all over it, and will shine on the table.",Langenlois,90,22.0,Kamptal,,,Anne Krebiehl MW,@AnneInVino,Loimer 2013 Langenlois Grüner Veltliner (Kamptal),Grüner Veltliner,Loimer
80005,Portugal,"This solid, dense blend of Touriga Nacional, Trincadeira and Aragonez has good structure with juicy berry fruits alongside sweet tannins. It's rich, the firm texture giving the wine weight and concentration. The aftertaste brings forward more juicy fruitiness. Drink from 2015.",Flor de Maio,90,11.0,Alentejano,,,Roger Voss,@vossroger,Magnum Vinhos 2012 Flor de Maio Red (Alentejano),Portuguese Red,Magnum Vinhos
80006,Austria,"Fresh lemon juice on cut Conference pear constitutes the main flavor on this tight, light and slender white. It displays focus, a precise edge of minerality and lovely phenolic texture.",Obere Steigen,90,19.0,Traisental,,,Anne Krebiehl MW,@AnneInVino,Markus Huber 2013 Obere Steigen Grüner Veltliner (Traisental),Grüner Veltliner,Markus Huber
80007,Austria,"A slightly funky nose with edges of earth and smoke gives way to ripe, yellow pear and a hazelnut midpalate with a touch of minerality and an appealing whiff of smoke.",Reserve,90,,Niederösterreich,,,Anne Krebiehl MW,@AnneInVino,Martinshof 2011 Reserve Weissburgunder (Niederösterreich),Weissburgunder,Martinshof
80008,Austria,"It offers ripe but restrained yellow plums and a citrusy and textured midpalate focused on lees and acidity. With just the right amount of weight and lightness, it manages that tightrope walk between rounded body and tingling acidity.",Heideboden,90,15.0,Burgenland,,,Anne Krebiehl MW,@AnneInVino,Nittnaus Hans und Christine 2013 Heideboden Chardonnay (Burgenland),Chardonnay,Nittnaus Hans und Christine
80009,Italy,"Unusual but enticing, it opens with aromas of smoke, mineral and stone fruit. The savory palate offers yellow peach, golden apple and Bartlett pear accented with notes of clove, nut and nutmeg. It's linear and well-balanced. George Wines, Zancanella.",,90,17.0,Northeastern Italy,Colli Orientali del Friuli,,Kerin O’Keefe,@kerinokeefe,Petrucco 2012 Friulano (Colli Orientali del Friuli),Friulano,Petrucco
80010,US,"Pretty and perfumed it exhibits dark cherry from start to finish. Spice and cola notes explode midway through, and that see-saw balance between fruit and spice persists into the finish. Round and soft, with a lean texture, it's very enjoyable.",,90,36.0,California,Anderson Valley,,Virginie Boone,@vboone,Philo Ridge 2010 Pinot Noir (Anderson Valley),Pinot Noir,Philo Ridge
80011,US,"Wonderfully fragrant, with a full-on expression of dark, plummy, black cherry fruit, this is fairly substantial. Slightly smoky tannins grip and hold through a medium-long finish. Lovely texture, with a wash of cola running through the back end.",Tavola,90,25.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Ponzi 2012 Tavola Pinot Noir (Willamette Valley),Pinot Noir,Ponzi
80012,US,"Jaw-droppingly delicious, this will surely convince you that Pinot Noir is the absolute best rosé grape in Oregon. From the floral/strawberry bouquet bursting out of the bottle, right on through the delightfully sippable, mouthfilling fruit, it's a joy.",Rosé,90,20.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Ponzi 2013 Rosé Pinot Noir (Willamette Valley),Pinot Noir,Ponzi
80013,US,"This wine has a crisp, breezy bouquet of salad greens, melon and pear. Fresh and textural, it's balanced with a lick of wet stone to wrap up.",,90,20.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Portlandia 2013 Pinot Gris (Willamette Valley),Pinot Gris,Portlandia
80014,Portugal,"Concentrated tannins give this wine from organic grapes a powerful structure. For balance, it also has a more fruity character that offers blackberry and black plums. The wine's dense texture means it needs to age through late 2014.",Reserva,90,27.0,Douro,,,Roger Voss,@vossroger,Quinta do Romeu 2010 Reserva Red (Douro),Portuguese Red,Quinta do Romeu
80015,Chile,"This is definitely a cool-climate SB from Chile. The nose is crisp yet not pushy, with aromas of gooseberry, nettle and snap pea along with grapefruit and lemon. A punchy, lively palate feel is just right for the wine's passion fruit, nettle, tangerine and grassy flavors, while the finish is long and cutting.",Grand Reserve,90,16.0,Casablanca Valley,,,Michael Schachner,@wineschach,Quintay 2013 Grand Reserve Sauvignon Blanc (Casablanca Valley),Sauvignon Blanc,Quintay
80016,Chile,"Ritual is Veramonte's top label from Casablanca and this wine is up to snuff. Grassy, green aromas of lettuce and tropical fruits set up a clean, medium-weight palate with grapefruit, gooseberry and lime flavors. A touch of bitter pyrazines rise up on the finish and dance with residual citrus notes and minerality.",,90,18.0,Casablanca Valley,,,Michael Schachner,@wineschach,Ritual 2013 Sauvignon Blanc (Casablanca Valley),Sauvignon Blanc,Ritual
80017,US,"From both Muscat Canelli (65%) and Muscat Giallo (35%), this fragrant and inviting wine is exactly what it proclaims to be, slightly sweet in honeysuckle, citrus and crisp texture. It offers lightness and lingering acidity in a moderate-alcohol package.",Slightly Sweet,90,16.0,California,Yolo County,Central Valley,Virginie Boone,@vboone,Rosa d'Oro 2012 Slightly Sweet Muscat (Yolo County),Muscat,Rosa d'Oro
80018,Austria,"Pink grapefruit, freshly cut grass and ripe peaches create a winning trio, neither overtly aromatic nor too restrained. Ripe but zesty acidity and mineral depth ensure that this is serious but eminently enjoyable.",Gamlitzer,90,31.0,Südsteiermark,,,Anne Krebiehl MW,@AnneInVino,Sattlerhof 2013 Gamlitzer Sauvignon Blanc (Südsteiermark),Sauvignon Blanc,Sattlerhof
80019,Italy,"Subtle aromas include white flower, pear and slate. The round palate delivers green apple and mature pear accented with mineral and hints of ginger. Fresh acidity gives a polished finish.",,90,23.0,Northeastern Italy,Colli Orientali del Friuli,,Kerin O’Keefe,@kerinokeefe,Scubla 2012 Pinot Bianco (Colli Orientali del Friuli),Pinot Bianco,Scubla
80020,Austria,"Some lively spritz gives this pear-peel and aloe-scented white even more cleansing freshness. There is something of a cool, pure mountain stream about this wine, with fine, ripe green pear at is core and a yeasty aftertaste.",Sonnseit'n,90,,Wagram-Donauland,,,Anne Krebiehl MW,@AnneInVino,Soellner 2013 Sonnseit'n Roter Veltliner (Wagram-Donauland),Roter Veltliner,Soellner
80021,Portugal,"The wine has all the classic structure and mineral tension of Dão. It gives both richness and dark, dry tannins that need several years to soften. At the same time, juicy black currant fruits give a fresh side to this complex, concentrated wine. Drink from 2016.",Callabriga,90,16.0,Dão,,,Roger Voss,@vossroger,Sogrape 2010 Callabriga Red (Dão),Portuguese Red,Sogrape
80022,Italy,"Crisp and refreshing, it delivers honeysuckle, ripe yellow peach, pink grapefruit and lemon-lime sensations. Energizing minerality and crisp acidity give a pristine finish.",,90,18.0,Northeastern Italy,Alto Adige,,Kerin O’Keefe,@kerinokeefe,St. Pauls 2013 Riesling (Alto Adige),Riesling,St. Pauls
80023,Austria,"It offers exuberant green pears in a linear body, shaped slenderly by citrus zest. It resonates with ripeness, savory spice and mineral focus.",Weinzierlberg,90,28.0,Kremstal,,,Anne Krebiehl MW,@AnneInVino,Stadt Krems 2013 Weinzierlberg Grüner Veltliner (Kremstal),Grüner Veltliner,Stadt Krems
80024,Austria,"Fragrant, refreshing, spritzy, citrusy—this wine is like a dictionary of descriptive Grüner terms. It even provides an edge of that much-loved pepperiness.",,90,,Niederösterreich,,,Anne Krebiehl MW,@AnneInVino,Stift Klosterneuburg 2013 Grüner Veltliner (Niederösterreich),Grüner Veltliner,Stift Klosterneuburg
