id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
25000,US,"This blend of Merlot, Cabernet Sauvignon, Syrah and Malbec offers vanilla, herb and cherry aromas that seem a bit coarse. The palate is full of baking spice flavors—notably vanilla. It's heavy on the oak notes, despite having aged in just 42% new French barrels, the rest older French and American.",,87,25.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,4 Cellars 2014 Red (Columbia Valley (WA)),Red Blend,4 Cellars
25001,US,"Toast and dill accent zesty green apple and lemon flavors in this lithe, sharply composed Chardonnay. Fresh acidity abounds on the palate, leading a moderately long, slightly tart finish. Drink now through 2019.",,87,35.0,New York,North Fork of Long Island,Long Island,Anna Lee C. Iijima,,Bedell 2015 Chardonnay (North Fork of Long Island),Chardonnay,Bedell
25002,France,"This wine brings out all the fruitiness of Gamay, along with an extra perfumed character. It is soft, rounded and smooth, with cherry fruits and a touch of spice. Drink now.",,87,,Beaujolais,Beaujolais-Villages,,Roger Voss,@vossroger,Bulliat 2014  Beaujolais-Villages,Gamay,Bulliat
25003,US,"Made in the Pride style, this is a big, powerful wine that should age well. It's enormously ripe, with flamboyant cassis, cherry pie filling, milk chocolate, licorice and smoky oak flavors that are wrapped into thoroughly modern, softly refined tannins. Just beautiful, and should develop through 2012.",,93,56.0,California,Sonoma-Napa,Napa-Sonoma,,,Pride Mountain 2006 Merlot (Sonoma-Napa),Merlot,Pride Mountain
25004,US,"This is a big, kick-butt wine that shows the powerful fruit and hard tannins that make Pinots from this vineyard ageable. You'll find it tough and gritty now, with rich, deep flavors of cherries, currants, cola and cedar. Best beyond 2011.",Sanford & Benedict Vineyard,93,56.0,California,Sta. Rita Hills,Central Coast,,,Testarossa 2007 Sanford & Benedict Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Testarossa
25005,US,"This is a very good wine, but judging from the acidity and tannins, it will benefit with some time in the cellar. Dry and silky, it shows rich flavors of raspberries, cherries, currants, chocolate-covered mints, anise and cedar that are lush and decadent. Decant now, and should come into its own in mid-2010.",Raffaelli Vineyard,93,59.0,California,Santa Cruz Mountains,Central Coast,,,Cumbre of Vine Hill 2006 Raffaelli Vineyard Pinot Noir (Santa Cruz Mountains),Pinot Noir,Cumbre of Vine Hill
25006,Austria,"This is Knoll's flagship wine, from the Dürnstein Schütt vineyard. It is powerful, intense stuff, a roll-call of ripe flavors, even in the difficult 2007 vintage. The wine brings out spice, yellow fruits, fresh apple skins and peppered grapefruit. The extra element is the complexity that goes deep into flavors that need to develop over several years.",Ried Schütt Smaragd,93,,Wachau,,,Roger Voss,@vossroger,Emmerich Knoll 2007 Ried Schütt Smaragd Riesling (Wachau),Riesling,Emmerich Knoll
25007,Austria,"A full-bodied, spicy style of Grüner that still keeps its sense of minerality and structure. The wine is fruity, its pear flavors dominant at first. But then the concentration and the freshness both deepen the taste and lift it at the same time. An impressive wine, epitomizing both rich Grüner and a taut, cool-climate character.",Axpoint Smaragd,93,74.0,Wachau,,,Roger Voss,@vossroger,Franz Hirtzberger 2007 Axpoint Smaragd Grüner Veltliner (Wachau),Grüner Veltliner,Franz Hirtzberger
25008,France,"A truly grassy aroma leads to a fresh, herbaceous and crisp wine. To top its crispness, it also has some weight, wood flavors and a creamy core with a white pear texture. It could benefit from aging, at least three years, to bring out the inherent richness of the wine.",,93,40.0,Bordeaux,Pessac-Léognan,,Roger Voss,@vossroger,Château Haut-Bergey 2007  Pessac-Léognan,Bordeaux-style White Blend,Château Haut-Bergey
25009,Italy,"This is an extraordinary wine with deep and delicate layers of yeast, wild berries, rose bud and smoky ash. There is a distinctive wood element that comes off as roasted almond and creamy butter, yet the wine is balanced and seductive to the end. You get personality and the highest quality of Italian sparkling wine.",Soldati Millesimato Riserva D'Antan,93,,Piedmont,Piedmont,,,,La Scolca 1995 Soldati Millesimato Riserva D'Antan Sparkling (Piedmont),Sparkling Blend,La Scolca
