id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
45000,Portugal,"The intense combination of ripe, sweet fruit and amazing acidity that is Madeira is so evident in this wine. It has mature wood-aged acidity that cuts through the demerara sugar and smoky, toasty character, resulting in a wine that is totally memorable. Drink now.",,96,220.0,Madeira,,,Roger Voss,@vossroger,Blandy's 1973 Verdelho (Madeira),Verdelho,Blandy's
45001,France,"Extra rich, ripe and round , this offers a full fruitiness that explodes in the mouth. Tannins and structure are all there, although the main thrust of this wine is the balance between this tension and the generous fruits that are developing. Drink from 2019.",Valmur Grand Cru,96,62.0,Burgundy,Chablis,,Roger Voss,@vossroger,Domaine Jean-Paul et Benoît Droin 2013 Valmur Grand Cru  (Chablis),Chardonnay,Domaine Jean-Paul et Benoît Droin
45002,Italy,"Succulent wild cherry, black raspberry, rose, violet, licorice, chopped mint, ground pepper and tobacco are just some of the aromas and flavors you'll find on this delicious, structured Barolo. A backbone of firm, velvety tannins and bright acidity support the juicy flavors. Drink 2018–2030.",Briccolina,96,149.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Rivetto 2010 Briccolina  (Barolo),Nebbiolo,Rivetto
45003,France,"All the Fèvre vines are at the top of this vineyard, giving very structured, long-lived wines. This is certainly an age-worthy wine, tightly coiled and nervy, with a strong mineral note at its heart. Lemon and quince flavors are caught up in the complex structure. Drink from 2020.",Les Clos Grand Cru,96,115.0,Burgundy,Chablis,,Roger Voss,@vossroger,William Fèvre 2013 Les Clos Grand Cru  (Chablis),Chardonnay,William Fèvre
45004,Italy,"Scorched earth, ripe berry, underbrush, ground pepper, leather and a balsamic note are just some of the aromas you'll find on this superb Barolo. The young, tight palate delivers rich black cherry, baking spice, licorice and tobacco while firm, velvety tannins provide the framework. A mineral vein energizes the finish. It already shows a great depth of flavors but it's still young and assertive. Hold to let this unwind and develop complexity. Drink 2021–2031.",Bussia Bricco Visette,96,79.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Attilio Ghisolfi 2011 Bussia Bricco Visette  (Barolo),Nebbiolo,Attilio Ghisolfi
45005,France,"This wine has weight, richness and an intense texture and structure that brings tannins and a firm background to the generous yellow fruits, ripe apples and crisp green plums. The wine is still very young, needing several years. Drink from 2019.",Vaudésir Grand Cru,96,62.0,Burgundy,Chablis,,Roger Voss,@vossroger,Domaine Jean-Paul et Benoît Droin 2013 Vaudésir Grand Cru  (Chablis),Chardonnay,Domaine Jean-Paul et Benoît Droin
45006,Italy,"Initially shy and brooding, it eventually reveals a potpourri of aromas, including forest floor, graphite, wild berry, mint, rose and a balsamic note. The palate delivers layers of ripe red cherry, black raspberry, tobacco, ground pepper, menthol and cinnamon alongside youthfully assertive but ripe tannins. Drink 2019–2031.",Cannubi Boschis,96,165.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Sandrone 2011 Cannubi Boschis  (Barolo),Nebbiolo,Sandrone
45007,France,"From a vineyard that once belonged to the charitable Hospices de Chablis, this is a superrich wine for a Chablis, powered both by acidity and by beautiful ripe fruits. It is bright and tight in character, although it is the richness and the density of the wine that shows most strongly. Drink this powerful wine from 2020.",Les Clos Grand Cru Cuvée Clos des Hospices,96,142.0,Burgundy,Chablis,,Roger Voss,@vossroger,Domaine Christian Moreau Père et Fils 2013 Les Clos Grand Cru Cuvée Clos des Hospices  (Chablis),Chardonnay,Domaine Christian Moreau Père et Fils
45008,France,"This wine has weight, structure and richness. Spice comes from wood aging while the texture is concentrated and dense. It's powerful, full of apple and crisp pear flavors that are tight and firm. There is a dusty, almost tannic character to this powerful wine that is still young. Drink from 2018.",Les Clos Grand Cru,96,,Burgundy,Chablis,,Roger Voss,@vossroger,Domaine Laroche 2012 Les Clos Grand Cru  (Chablis),Chardonnay,Domaine Laroche
45009,France,"This wine brings out the structure inherent in this vineyard. Tensely textured with young fruits that have a touch of bitterness, the wine offers kiwi and green plum flavors given a more exotic character with some mango. It's a deeply structured wine that needs to age. Drink from 2018.",Les Clos Grand Cru,96,73.0,Burgundy,Chablis,,Roger Voss,@vossroger,Domaine Pinson 2013 Les Clos Grand Cru  (Chablis),Chardonnay,Domaine Pinson
45010,Portugal,"Not one of the generally declared vintages for Port, this year produced some ripe, sweet single quinta vintages. It also was a good year for rich, sweet tawnies. This is ripe, toffee-like in character packed with ripe raisin and sultana flavors. It is a luxurious wine, of course ready to drink.",Colheita Tawny,94,100.0,Port,,,Roger Voss,@vossroger,Kopke 1978 Colheita Tawny  (Port),Port,Kopke
45011,South Africa,"Despite its age, this has the depth, concentration and structure to continue to age well through 2022. A blend of 74% Shiraz, 18% Grenache, 6% Cinsault and 2% Tinta Barocca, there's a pure character to the wine—herbal notes of minty fynbos, bark and freshly tilled soil are supported by vibrant plum, raspberry and cherry. There's a minerally graphite seam to the full-bodied palate, ending on lush notes of black pepper, bittersweet cocoa and espresso.",,94,43.0,Swartland,,,Lauren Buzzeo,@laurbuzz,A.A. Badenhorst Family Wines 2010 Red (Swartland),Red Blend,A.A. Badenhorst Family Wines
