id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
85000,US,"From the fine Spring Mountain appellation, this has sweet-and-sour flavors of apricots, pineapples and brown sugar.",,82,29.0,California,Spring Mountain District,Napa,,,Keenan 2006 Chardonnay (Spring Mountain District),Chardonnay,Keenan
85001,Spain,"Didn't much like the 2005 basic Tempranillo from Vall Sanzo and this twice-as-expensive Ribera Del Duero isn't much better. It starts out heavily gaseous, with aromas of wet clay and roasted fruit. The flavors are herbal and on the fringe of being sour, and there isn't much deftness to the wine.",Vall Sanzo Crianza,82,26.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Valsanzo 2004 Vall Sanzo Crianza  (Ribera del Duero),Tempranillo,Valsanzo
85002,US,"The blazing vintage took its toll on this high altitude wine. It tastes of baked pie-filling cherries and blackberries, with a hot, burnt middle palate, even though the official alcohol reading is a modest 13.8%.",,82,42.0,California,Sierra Foothills,Sierra Foothills,,,Peters Family 2004 Cabernet Sauvignon (Sierra Foothills),Cabernet Sauvignon,Peters Family
85003,US,"Tannicly hard and very dry, this austere wine has herbal flavors with just a bare suggestion of ripe cherries and bitter cherry skins. It's clean, but not showing much opulence, and not likely to age.",,82,34.0,California,Napa Valley,Napa,,,Tin Barn 2003 Red (Napa Valley),Bordeaux-style Red Blend,Tin Barn
85004,Spain,"Mulchy aromas of tomato and tobacco lead toward a raisiny, sweet palate that exhibits more than a touch of burnt character. Later it evolves into a sweet, medicinal wine with no shortage of mealy flavors. As a 50th anniversary wine it's trying to be too much.",50 Aniversario Virgen Blanca,82,19.0,Northern Spain,Navarra,,Michael Schachner,@wineschach,Bodegas Alconde 2003 50 Aniversario Virgen Blanca Red (Navarra),Red Blend,Bodegas Alconde
85005,Spain,"Starts out severely jumbled and hot, and while it always remains clumsy and over-the-top, it settles into a tolerable medicinal, syrupy sort of mode. Flavorwise, we're talking heavy blackberry and some cloying sweetness. Just a big, burly youngster without much future.",Monte Toro Joven,82,12.0,Northern Spain,Toro,,Michael Schachner,@wineschach,Bodegas Ramon Ramos 2006 Monte Toro Joven  (Toro),Tinta de Toro,Bodegas Ramon Ramos
85006,Spain,"A wide-open, jumbled rosé without much focus or charm. There's peppery heat on the nose and then a lemony, citrusy palate that's at first soda-like and later kind of flat. Has acceptable intentions, but seems to be fading.",Rosado,82,10.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Darien 2006 Rosado Tempranillo (Rioja),Tempranillo,Darien
85007,France,"A raw-edged wine, with dusty tannins and blackberry fruits and sawdust wood flavors that don't quite gel, and some green asparagus flavors to finish.",Mouton Cadet,82,9.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Baron Philippe de Rothschild 2005 Mouton Cadet  (Bordeaux),Bordeaux-style Red Blend,Baron Philippe de Rothschild
85008,Spain,"This rating is a follow-up to one we did about a year ago, and it doesn't seem as though this wine is making any progress. It's still clumsy as an ox, with stark pineapple flavors and overt acidity. Citrus juice is the best way to describe it; it bears little to no resemblance to Chardonnay as we know it.",El Cerezo Unoaked,81,12.0,Northern Spain,Navarra,,Michael Schachner,@wineschach,Castillo de Monjardin 2005 El Cerezo Unoaked Chardonnay (Navarra),Chardonnay,Castillo de Monjardin
85009,US,"Really too sweet, simple and soft to earn a better score, this has syrupy flavors of citrus fruits and raspberries.",Reserve White,81,8.0,California,California,California Other,,,Turning Leaf 2006 Reserve White Zinfandel (California),Zinfandel,Turning Leaf
85010,US,"Soft and dull, this has medicinal, cough drop flavors of berry fruit.",,81,10.0,California,Paso Robles,Central Coast,,,Grayson 2006 Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Grayson
