id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
70000,Italy,"This sparkling rosé has a floral fragrance and nutty undertones. The palate isn't very expressive, but reveals subdued strawberry and spice notes. It has a refined perlage and finishes on a dry, walnut note.",Brut Rosé,87,55.0,Lombardy,Franciacorta,,Kerin O’Keefe,@kerinokeefe,Ricci Curbastro NV Brut Rosé Sparkling (Franciacorta),Sparkling Blend,Ricci Curbastro
70001,US,"This is a lovely Chardonnay, filled with varietal character. The pear, tropical fruit and kiwi flavors are enhanced with sweet, toasty oak, buttered-toast and vanilla notes.",Estate Grown,87,26.0,California,Santa Maria Valley,Central Coast,,,Riverbench 2011 Estate Grown Chardonnay (Santa Maria Valley),Chardonnay,Riverbench
70002,US,"Here's a delightful wine to drink now, as a cocktail sipper, or with practically anything else that calls for something white, crisp and fruity. It's basically dry, but with rich orange, tropical fruit, white flower, honey and vanilla flavors, touched with sweet, smoky oak.",,87,29.0,California,Sonoma Mountain,Sonoma,,,Roadhouse Winery 2012 Sauvignon Blanc (Sonoma Mountain),Sauvignon Blanc,Roadhouse Winery
70003,Chile,"This is a perfectly good, honest Chilean SB with snappy, pungent aromas of gooseberry, grapefruit and lime. The mouth is racy as it should be, with textbook lime, grapefruit, nettle and pithy flavors. If there's any drawback, it's on the finish, which ends with bitterness.",Reserva,87,13.0,Casablanca Valley,,,Michael Schachner,@wineschach,Santa Rita 2012 Reserva Sauvignon Blanc (Casablanca Valley),Sauvignon Blanc,Santa Rita
70004,Italy,This blend of Merlot and Sangiovese from Tuscany shows plum and black pepper flavors with toasted oak and espresso notes from aging in barriques. It opens with ripe fruit but ends on an astringent note of wood tannins.,I Campacci,87,25.0,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Tenuta di Trecciano 2011 I Campacci Red (Toscana),Red Blend,Tenuta di Trecciano
70005,US,"If this wine were any riper, it would be a Port. It's that rich in sugary blackberries and cherries, with toasty oak adding caramelized notes. Fortunately, the finish is dry. This modern-style wine is best consumed now for fruity freshness.",Cardinals' Peak,87,48.0,California,Napa Valley,Napa,,,Terlato 2010 Cardinals' Peak Red (Napa Valley),Bordeaux-style Red Blend,Terlato
70006,France,"Deep pink in color, this warm and rich rosé is touched with spice and tannin as well as red currant fruits and a crisp acidity on the finish. The wine could improve further with some bottle age.",Grand Rosé,87,90.0,Champagne,Champagne,,Roger Voss,@vossroger,Forget-Brimont NV Grand Rosé  (Champagne),Champagne Blend,Forget-Brimont
70007,Germany,"The nose of this Lemberger is austere, with just a whisper of black plum and sweet spice. The palate is more buoyant, with a rich, deep, black cherry-and-plum profile marked by reverberating acidity and layers of fine, velvety tannins.",Schwaigerner Ruthe,87,51.0,Württemberg,,,Anna Lee C. Iijima,,Grafen Neipperg 2009 Schwaigerner Ruthe Lemberger (Württemberg),Lemberger,Grafen Neipperg
70008,US,"This is rich with sweet jasmine, dried apricot and honey. Plenty layered on the palate but tempered by a core of acidity, it's more sweet than dry. The blend is 39% Chardonnay, 35% Pinot Noir, 25% Muscat (which explains the hay yellow color) and 1% Pinot Meunier.",Extra Dry Riche,87,22.0,California,California,California Other,Virginie Boone,@vboone,Chandon NV Extra Dry Riche Sparkling (California),Sparkling Blend,Chandon
70009,France,"A solid and fully tannic wine that also has a bright, fruity side. The combination, with its ripe fruit, is already a pleasure to drink fresh, textured and juicy. The wine also has a future with a smoky character that will allow it to age. So drink until 2021.",Prestige,87,15.0,Bordeaux,Cadillac Côtes de Bordeaux,,Roger Voss,@vossroger,Château de Sadran 2010 Prestige  (Cadillac Côtes de Bordeaux),Bordeaux-style Red Blend,Château de Sadran
