id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
60000,France,"A hint of smoke and a touch of earth precede the fresh lemon notes of the nose. The dry palate, with its vivid impression of very pure, bright and incisive lemon freshness, still seems tightly wound. There is something brooding and alive about this—it can be felt below the surface, disquieting but promising. This has barely started on its journey and will take a while to develop fully but it's all already there, dormant and ready to unfurl with a little more bottle age. The pure, long and intense finish is a delicious promise. Drink 2017–2037.",Grossi Laüe,95,85.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Hugel 2011 Grossi Laüe Riesling (Alsace),Riesling,Hugel
60001,US,"Clean lines of nectarine, lemon blossom, orange sorbet and wet rock show on the lovely nose of this bottling from Trey Fletcher. Boisterous energy and a chalky grip power the palate, where citrus freshness dominates, and the acidity is powerful but not overblown. It will age with beauty and grace. Drink 2018–2035.",,95,45.0,California,Santa Maria Valley,Central Coast,Matt Kettmann,@mattkettmann,Solomon Hills 2015 Chardonnay (Santa Maria Valley),Chardonnay,Solomon Hills
60002,England,"Beautifully delineated fruit constitues the nose, with ripe, yellow plum playing alongside crisp, green apple. The palate layers a sonorous tone of sourdough bread with rich hints of yeast, green-apple briskness and gentle yellow plum. The notions unite with the fizzing, fine mousse. On the midpalate and the finish, the depth of this wine becomes clear: Profound and rich but in a totally slender, unassuming and convincing fashion. The finish is pure and lasting. Drink 2017–2027.",The Trouble with Dreams,95,80.0,England,,,Anne Krebiehl MW,@AnneInVino,Sugrue Pierre Ltd. 2010 The Trouble with Dreams Sparkling (England),Sparkling Blend,Sugrue Pierre Ltd.
60003,France,"Definitely dry, this impressively crisp wine is tightly textured, mineral in character and with great fruit. Its acidity and taut tangy character are part of a sophisticated wine that is still maturing. The hints of toast are there, but this beautiful wine will take a while to show its full potential. Drink from 2019.",Vintage Extra Brut,95,80.0,Champagne,Champagne,,Roger Voss,@vossroger,Billecart-Salmon 2007 Vintage Extra Brut  (Champagne),Champagne Blend,Billecart-Salmon
60004,France,"At 35-years-old, this golden wine may be old, but it is still glorious. Still honeyed, with hints of its past yellow and bitter-orange fruit still there, the wine is intense, with toast, almonds and a richness that is so concentrated. Drink now.",,95,64.0,Loire Valley,Coteaux du Layon,,Roger Voss,@vossroger,Moulin Touchais 1982 Chenin Blanc (Coteaux du Layon),Chenin Blanc,Moulin Touchais
60005,US,"The nose of this bottling explodes with exotic cherry scents and compelling strokes of iron, rose, carnation and cinnamon. It's refreshingly tart and earthy on the palate, where dewy sage, mint and tarragon touches lift its youthful raspberry and green olive flavors. Easy to guzzle, yet intriguingly complex.",Twin Creeks,95,44.0,California,Edna Valley,Central Coast,Matt Kettmann,@mattkettmann,Claiborne & Churchill 2015 Twin Creeks Pinot Noir (Edna Valley),Pinot Noir,Claiborne & Churchill
60006,France,"The musky touch of botrytized fruit appears immediately, adding even more allure to the golden color. An explosion of golden apricot and luscious peach provide mouthfilling sweetness on the palate. All this is countered by very concentrated lemon freshness. This is not one of the tooth-achingly sweet SGNs—this is fresher and still has vivid fruit flavors. The finish has so much freshness it is lip-smacking. This will be a killer with fruit-centered desserts. Its sweetness-acid balance is of utter poise and a wonderful class act. Drink 2017–2050.",Clos Saint-Théobald Rangen Grand Cru Sélection de Grains Nobles,95,108.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Domaine Schoffit 2012 Clos Saint-Théobald Rangen Grand Cru Sélection de Grains Nobles Pinot Gris (Alsace),Pinot Gris,Domaine Schoffit
60007,US,"Brine and oak accents cradle this impressive wine's elegant green apple, wet stone and lime notes. Bold and concentrated yet complex, it's balanced by lively acidity and persistent freshness.",Monastery,95,55.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Lynmar 2015 Monastery Chardonnay (Russian River Valley),Chardonnay,Lynmar
60008,US,"An inviting hint of butter shows on the nose of this big, bold and concentrated wine. It displays craftsmanship through its embrace of lightly toasted oak, which accents vibrant apple and pear notes. It's lushly textured, with persistent acidity and a lemon peel flourish on the close.",Quail Hill Vineyard,95,60.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Lynmar 2015 Quail Hill Vineyard Chardonnay (Russian River Valley),Chardonnay,Lynmar
60009,France,"A lovely touch of orange zest teases the nose and there also is a lovely hint of chervil. The streamlined palate comes in with bundled citrus notes. The tart flesh of tangerine and the zest of lemon are softened and enriched with orange oil and ample concentration. This is pure and racy, linear and bold. There is something salty and energetic, something incredibly fresh and vibrant at the core. The palate and finish are absolutely dry, the echo is long and clean. Blastingly fresh right now, sure to evolve. Drink 2019–2037.",Zotzenberg Grand Cru,95,38.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Boeckel 2015 Zotzenberg Grand Cru Riesling (Alsace),Riesling,Boeckel
